zip_code,city,neighborhood,total_population,median_age,bachelors_degree_pct,foot_traffic_index
90210,Los Angeles,Beverly Hills,26948,33.5,95.0,89.8
90211,Los Angeles,Beverly Hills,52912,31.9,73.5,58.4
90212,Los Angeles,Beverly Hills,38931,30.8,67.9,79.2
90220,Los Angeles,Compton,35139,30.5,46.1,64.8
90221,Los Angeles,Compton,42709,29.0,43.2,46.8
90222,Los Angeles,Compton,53744,39.1,44.1,58.8
90230,Los Angeles,Culver City,44914,34.8,67.0,65.9
90232,Los Angeles,Culver City,57043,30.4,68.4,80.1
90240,Los Angeles,Downey,56141,37.9,68.8,72.9
90241,Los Angeles,Downey,36307,38.8,51.0,40.8
90242,Los Angeles,Downey,41849,40.8,48.9,56.2
90245,Los Angeles,El Segundo,50107,37.3,80.1,88.5
90247,Los Angeles,Gardena,48417,34.3,50.4,57.2
90248,Los Angeles,Gardena,44268,41.4,53.9,48.7
90249,Los Angeles,Gardena,26949,30.8,56.1,46.9
90250,Los Angeles,Hawthorne,55278,29.3,49.1,37.8
90254,Los Angeles,Hermosa Beach,58382,37.6,82.2,86.5
90255,Los Angeles,Huntington Park,64274,36.8,43.0,55.2
90260,Los Angeles,Lawndale,48356,30.7,54.5,63.3
90262,Los Angeles,Lynwood,47258,36.8,48.1,43.4
90263,Los Angeles,Malibu,38988,41.8,10.0,20.3
90265,Los Angeles,Malibu,52952,32.3,95.0,100.0
90266,Los Angeles,Manhattan Beach,50144,40.3,95.0,98.5
90270,Los Angeles,Maywood,49071,36.8,45.2,41.7
90272,Los Angeles,Pacific Palisades,37255,30.3,95.0,97.1
90274,Los Angeles,Palos Verdes Estates,33296,34.7,95.0,100.0
90275,Los Angeles,Rancho Palos Verdes,27467,33.7,95.0,86.5
90277,Los Angeles,Redondo Beach,32104,36.4,73.6,85.6
90278,Los Angeles,Redondo Beach,48648,35.3,83.4,86.6
90280,Los Angeles,South Gate,47820,38.3,43.2,40.0
90290,Los Angeles,Topanga,60931,41.2,81.2,77.3
90291,Los Angeles,Venice,32315,35.3,68.5,71.3
90292,Los Angeles,Marina del Rey,48296,30.0,80.9,74.9
90293,Los Angeles,Playa del Rey,59668,30.6,72.7,61.5
90301,Los Angeles,Inglewood,62282,41.8,41.6,39.8
90302,Los Angeles,Inglewood,38413,31.6,41.6,49.8
90303,Los Angeles,Inglewood,36032,30.9,45.3,43.5
90304,Los Angeles,Inglewood,61299,29.9,43.3,54.2
90305,Los Angeles,Inglewood,30499,33.7,56.5,64.9
90401,Los Angeles,Downtown Santa Monica,56595,32.3,62.3,74.7
90402,Los Angeles,Santa Monica,55226,30.2,95.0,82.6
90403,Los Angeles,Santa Monica,60676,41.7,68.3,73.5
90404,Los Angeles,Santa Monica,27050,37.0,57.2,43.3
90405,Los Angeles,Santa Monica,44089,35.0,69.2,77.0
90501,Los Angeles,Torrance,59209,32.1,52.9,51.4
90502,Los Angeles,Harbor Gateway,54334,29.1,63.0,57.4
90503,Los Angeles,Torrance,56724,34.1,68.6,73.7
90504,Los Angeles,Torrance,36785,30.1,66.3,53.9
90505,Los Angeles,Torrance,62568,34.0,60.9,64.1
90506,Los Angeles,Torrance,51636,40.6,12.3,11.2
90601,Los Angeles,Whittier,28600,37.8,65.6,54.1
90602,Los Angeles,Whittier,31532,30.0,46.4,48.5
90603,Los Angeles,Whittier,56466,30.7,72.9,76.1
90604,Los Angeles,Whittier,30849,37.5,55.6,53.5
90605,Los Angeles,Whittier,32370,35.6,55.7,60.5
90606,Los Angeles,Whittier,52622,29.2,55.3,53.4
90621,Los Angeles,Buena Park,56172,36.2,57.1,51.0
90623,Los Angeles,La Palma,62804,30.9,62.8,52.1
90630,Los Angeles,Cypress,29641,37.9,72.3,57.8
90631,Los Angeles,La Habra,61481,30.1,57.2,74.7
90638,Los Angeles,La Mirada,43154,36.5,66.7,52.8
90639,Los Angeles,La Mirada,29744,35.0,12.8,8.4
90640,Los Angeles,Montebello,40952,35.0,42.4,36.6
90650,Los Angeles,Norwalk,45669,33.0,62.2,73.9
90660,Los Angeles,Pico Rivera,60169,33.5,50.8,63.8
90670,Los Angeles,Santa Fe Springs,30285,36.7,52.6,55.5
90701,Los Angeles,Artesia,58139,32.1,58.5,49.5
90703,Los Angeles,Cerritos,41186,35.8,73.5,62.0
90704,Los Angeles,Avalon,61570,32.8,54.0,42.2
90706,Los Angeles,Bellflower,45634,41.9,47.6,47.9
90710,Los Angeles,Harbor City,51196,36.9,44.6,65.7
90712,Los Angeles,Lakewood,56650,30.6,69.2,78.7
90713,Los Angeles,Lakewood,56166,38.8,75.3,68.2
90715,Los Angeles,Lakewood,60191,34.9,57.9,49.4
90716,Los Angeles,Hawaiian Gardens,64060,39.5,43.2,42.8
90717,Los Angeles,Lomita,29319,40.5,61.0,60.8
90723,Los Angeles,Paramount,64335,30.2,45.4,57.4
90731,Los Angeles,San Pedro,25642,30.4,47.1,53.9
90732,Los Angeles,San Pedro,57957,39.3,70.7,80.5
90740,Los Angeles,Seal Beach,64978,30.2,49.5,43.3
90744,Los Angeles,Wilmington,42652,32.1,43.0,46.3
90745,Los Angeles,Carson,35931,38.9,67.5,73.8
90746,Los Angeles,Carson,29159,35.3,65.1,65.6
90747,Los Angeles,Carson,36144,35.2,11.1,13.2
90755,Los Angeles,Signal Hill,25554,41.1,60.3,47.0
90802,Los Angeles,Long Beach,37252,41.6,46.4,44.9
90803,Los Angeles,Belmont Shore,39961,29.4,64.5,50.8
90804,Los Angeles,Long Beach,50642,31.8,43.9,43.8
90805,Los Angeles,North Long Beach,37207,37.1,44.8,52.9
90806,Los Angeles,Long Beach,47608,36.5,47.8,37.3
90807,Los Angeles,Long Beach,44338,33.1,60.6,53.2
90808,Los Angeles,Long Beach,34801,38.3,74.4,71.0
90810,Los Angeles,Long Beach,47361,37.0,54.4,44.3
90813,Los Angeles,Long Beach,59930,41.3,35.0,34.4
90814,Los Angeles,Long Beach,49046,37.7,55.1,71.0
90815,Los Angeles,Long Beach,63887,41.2,65.9,72.9
90822,Los Angeles,Long Beach,60685,37.8,10.0,20.6
90831,Los Angeles,Long Beach,25801,42.0,10.0,9.8
90840,Los Angeles,Long Beach,37473,32.5,10.0,25.8
91001,Los Angeles,Altadena,63658,30.5,80.9,65.3
91006,Los Angeles,Arcadia,30085,35.9,70.7,82.7
91007,Los Angeles,Arcadia,53775,34.8,59.3,64.9
91008,Los Angeles,Bradbury,25045,42.0,76.1,68.8
91010,Los Angeles,"Duarte, CA",39272,36.6,63.6,60.1
91011,Los Angeles,La Cañada Flintridge,60868,31.6,95.0,100.0
91016,Los Angeles,Monrovia,46419,35.6,59.5,51.2
91020,Los Angeles,Montrose,30126,29.5,39.7,38.4
91024,Los Angeles,Sierra Madre,45431,31.0,81.9,79.9
91030,Los Angeles,South Pasadena,28107,38.4,72.6,75.1
91040,Los Angeles,Shadow Hills,47684,32.4,59.8,56.7
91042,Los Angeles,Tujunga,59624,39.3,53.4,57.8
91046,Los Angeles,Verdugo City,31958,37.1,10.6,27.5
91101,Los Angeles,Pasadena,54774,33.1,57.0,72.2
91103,Los Angeles,North Central,53985,36.6,55.1,66.7
91104,Los Angeles,Pasadena,60357,41.2,64.0,72.5
91105,Los Angeles,Pasadena,31289,40.4,91.8,87.0
91106,Los Angeles,Pasadena,59212,32.5,53.8,44.4
91107,Los Angeles,Pasadena,31253,31.0,75.4,80.0
91108,Los Angeles,San Marino,54498,38.3,95.0,100.0
91125,Los Angeles,Pasadena,63948,32.2,10.0,19.0
91201,Los Angeles,Glendale,59540,41.7,48.9,47.2
91202,Los Angeles,Glendale,40484,40.6,60.3,44.0
91203,Los Angeles,Glendale,30388,33.4,52.4,46.2
91204,Los Angeles,Glendale,31265,38.7,43.1,47.7
91205,Los Angeles,Glendale,55694,40.9,39.8,47.9
91206,Los Angeles,Glendale,27477,35.0,58.0,57.4
91207,Los Angeles,Glendale,41931,39.0,67.5,48.6
91208,Los Angeles,Glendale,50118,36.9,77.1,87.1
91210,Los Angeles,Glendale,39143,31.9,62.4,62.5
91214,Los Angeles,La Crescenta,62217,34.0,78.3,79.1
91301,Los Angeles,Agoura Hills,62935,36.5,89.2,98.0
91302,Los Angeles,Calabasas,61705,38.0,90.8,74.2
91303,Los Angeles,Canoga Park,43806,33.1,46.9,57.5
91304,Los Angeles,Canoga Park,63071,34.0,48.9,52.4
91306,Los Angeles,Winnetka,58448,32.5,49.6,58.1
91307,Los Angeles,West Hills,64790,34.1,76.4,75.4
91311,Los Angeles,Chatsworth,64350,37.7,66.9,69.0
91316,Los Angeles,Encino,46011,39.5,51.7,53.9
91321,Los Angeles,Newhall,31298,30.3,58.5,71.0
91324,Los Angeles,Northridge,45558,38.6,63.1,47.8
91325,Los Angeles,Northridge,41247,35.7,58.2,47.5
91326,Los Angeles,Porter Ranch,27104,35.4,82.9,93.5
91330,Los Angeles,Northridge,37384,36.3,12.3,21.6
91331,Los Angeles,Pacoima,39435,35.3,49.5,58.5
91335,Los Angeles,Reseda,63267,41.5,50.0,55.9
91340,Los Angeles,San Fernando,57525,40.2,53.2,44.0
91342,Los Angeles,Sylmar,51961,34.8,59.7,48.6
91343,Los Angeles,North Hills,30561,40.5,53.1,51.4
91344,Los Angeles,Granada Hills,39190,36.0,68.0,61.9
91345,Los Angeles,Mission Hills,57065,39.9,58.9,49.2
91350,Los Angeles,"Saugus, Santa Clarita",31602,38.1,80.8,88.9
91351,Los Angeles,"Canyon Country, Santa Clarita",36440,37.6,62.2,58.3
91352,Los Angeles,Sun Valley,46179,37.9,49.5,48.2
91354,Los Angeles,Valencia,37900,34.3,80.2,76.3
91355,Los Angeles,Valencia,25857,32.6,60.2,63.5
91356,Los Angeles,Tarzana,44941,39.2,63.2,50.8
91361,Los Angeles,Westlake Village,63215,41.7,75.8,66.1
91362,Los Angeles,Thousand Oaks,28434,29.3,79.7,79.8
91364,Los Angeles,Woodland Hills,28515,31.1,75.9,67.4
91367,Los Angeles,Woodland Hills,33617,31.2,66.9,49.7
91371,Los Angeles,Woodland Hills,42715,38.3,10.0,23.5
91381,Los Angeles,Stevenson Ranch,28683,35.9,84.9,84.1
91384,Los Angeles,Castaic,57608,38.9,78.3,84.2
91387,Los Angeles,Canyon Country,53792,40.8,70.7,67.8
91390,Los Angeles,Santa Clarita,25056,34.2,79.2,78.2
91401,Los Angeles,Van Nuys,40577,33.6,48.9,51.7
91402,Los Angeles,Panorama City,47846,36.0,40.2,51.0
91403,Los Angeles,Sherman Oaks,59750,30.0,69.5,77.7
91405,Los Angeles,Van Nuys,63803,36.9,42.9,29.8
91406,Los Angeles,Van Nuys,50374,35.4,43.9,54.6
91411,Los Angeles,Van Nuys,52463,39.7,53.0,36.8
91423,Los Angeles,Sherman Oaks,55660,38.0,68.0,79.2
91436,Los Angeles,Encino,51459,38.3,95.0,93.6
91501,Los Angeles,Burbank,52245,38.0,55.1,64.9
91502,Los Angeles,Burbank,62091,42.0,36.7,34.3
91504,Los Angeles,Burbank,58251,33.9,61.8,57.4
91505,Los Angeles,Burbank,39831,34.1,68.1,58.4
91506,Los Angeles,Burbank,46320,39.8,62.3,66.8
91601,Los Angeles,North Hollywood,53462,31.6,50.7,65.6
91602,Los Angeles,North Hollywood,30064,33.8,62.4,70.1
91604,Los Angeles,Studio City,49655,36.6,84.8,77.5
91605,Los Angeles,North Hollywood,35736,34.6,43.1,39.6
91606,Los Angeles,North Hollywood,48723,38.7,41.1,39.8
91607,Los Angeles,Valley Village,61688,33.5,50.2,48.5
91608,Los Angeles,Universal City,42405,30.3,10.0,14.2
91702,Los Angeles,Azusa,49970,35.7,58.4,53.8
91706,Los Angeles,Baldwin Park,28037,40.9,47.5,57.5
91709,Los Angeles,Chino Hills,50028,38.2,74.8,54.2
91711,Los Angeles,Claremont,61811,32.1,75.7,60.0
91722,Los Angeles,Covina,63898,36.6,57.9,60.3
91723,Los Angeles,Covina,45826,35.3,53.2,42.5
91724,Los Angeles,Covina,58626,32.4,58.6,75.0
91731,Los Angeles,El Monte,38301,35.3,39.0,40.8
91732,Los Angeles,El Monte,25529,31.4,48.1,61.4
91733,Los Angeles,South El Monte,33782,31.1,44.1,40.0
91740,Los Angeles,Glendora,53252,39.5,63.8,64.3
91741,Los Angeles,Glendora,27780,29.7,76.3,85.4
91744,Los Angeles,La Puente,58633,36.6,52.8,67.3
91745,Los Angeles,Hacienda Heights,33539,32.7,61.6,77.2
91746,Los Angeles,La Puente,62367,34.1,48.3,50.6
91748,Los Angeles,Rowland Heights,30582,39.4,48.9,50.0
91750,Los Angeles,La Verne,45937,31.8,63.9,65.9
91754,Los Angeles,Monterey Park,51848,41.2,52.8,57.8
91755,Los Angeles,Monterey Park,56656,36.5,48.7,35.5
91759,Los Angeles,Mt Baldy,38124,30.0,66.9,68.4
91765,Los Angeles,Diamond Bar,34365,35.4,63.2,68.4
91766,Los Angeles,Pomona,54300,31.9,44.2,65.7
91767,Los Angeles,Pomona,38458,34.1,52.2,40.1
91768,Los Angeles,Pomona,32688,40.8,46.6,64.2
91770,Los Angeles,Rosemead,25998,31.1,47.3,54.1
91773,Los Angeles,San Dimas,28447,30.3,63.9,47.7
91775,Los Angeles,San Gabriel,50430,41.9,69.7,72.8
91776,Los Angeles,San Gabriel,45331,41.5,52.4,62.4
91780,Los Angeles,Temple City,46633,31.1,63.6,61.1
91789,Los Angeles,Walnut,49206,32.6,73.8,65.0
91790,Los Angeles,West Covina,25842,40.5,56.2,54.3
91791,Los Angeles,West Covina,32269,32.5,56.2,55.2
91792,Los Angeles,West Covina,42442,38.5,62.3,46.8
91801,Los Angeles,Alhambra,32647,29.9,50.7,53.1
91803,Los Angeles,Alhambra,25809,33.4,48.7,42.0
92397,Los Angeles,Wrightwood,44752,38.3,49.7,64.2
93243,Los Angeles,Lebec,31852,38.1,31.9,27.7
93510,Los Angeles,Acton,33393,35.9,69.1,80.2
93532,Los Angeles,Lake Hughes,42726,34.9,56.1,67.7
93534,Los Angeles,Lancaster,40980,36.2,35.4,43.7
93535,Los Angeles,Lancaster,46580,35.7,40.8,34.6
93536,Los Angeles,Lancaster,51922,29.3,65.3,60.4
93543,Los Angeles,Littlerock,58855,34.8,42.8,53.4
93544,Los Angeles,Llano,47417,39.2,54.3,49.5
93550,Los Angeles,Palmdale,27435,37.2,38.0,36.7
93551,Los Angeles,Palmdale,42504,34.5,62.8,64.0
93552,Los Angeles,Palmdale,39233,31.4,55.7,45.2
93553,Los Angeles,Pearblossom,51299,35.0,47.4,56.3
93560,Los Angeles,Rosamond,45487,32.0,49.2,44.2
93563,Los Angeles,Valyermo,52369,33.9,10.0,23.6
93591,Los Angeles,Palmdale,34775,35.4,37.4,35.0
